Mixer name: 'msm8974-taiko-mtp-snd-card'
Number of controls: 693
ctl	type	num	name                                     value
277	BOOL	1	AFE_PCM_RX_Voice Mixer DTMF              Off
278	BOOL	1	AFE_PCM_RX_Voice Mixer QCHAT             Off
279	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer CSVoice   Off
280	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer Voice2    Off
281	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer Voip      Off
282	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer Voice Stub Off
283	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer VoLTE     Off
284	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer VoWLAN    Off
285	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer DTMF      Off
286	BOOL	1	INTERNAL_BT_SCO_RX_Voice Mixer QCHAT     Off
287	BOOL	1	SLIM_0_RX_Voice Mixer CSVoice            Off
288	BOOL	1	SLIM_0_RX_Voice Mixer Voice2             Off
289	BOOL	1	SLIM_0_RX_Voice Mixer Voip               Off
290	BOOL	1	SLIM_0_RX_Voice Mixer Voice Stub         Off
291	BOOL	1	SLIM_0_RX_Voice Mixer VoLTE              Off
292	BOOL	1	SLIM_0_RX_Voice Mixer VoWLAN             Off
293	BOOL	1	SLIM_0_RX_Voice Mixer DTMF               Off
294	BOOL	1	SLIM_0_RX_Voice Mixer QCHAT              Off
295	BOOL	1	SEC_MI2S_RX_Voice Mixer CSVoice          Off
296	BOOL	1	SEC_MI2S_RX_Voice Mixer Voice2           Off
297	BOOL	1	SEC_MI2S_RX_Voice Mixer Voip             Off
298	BOOL	1	SEC_MI2S_RX_Voice Mixer VoLTE            Off
299	BOOL	1	SEC_MI2S_RX_Voice Mixer VoWLAN           Off
300	BOOL	1	SEC_MI2S_RX_Voice Mixer DTMF             Off
301	BOOL	1	SEC_MI2S_RX_Voice Mixer QCHAT            Off
302	BOOL	1	QUAT_MI2S_RX_Voice Mixer CSVoice         Off
303	BOOL	1	QUAT_MI2S_RX_Voice Mixer Voice2          Off
304	BOOL	1	QUAT_MI2S_RX_Voice Mixer Voip            Off
305	BOOL	1	QUAT_MI2S_RX_Voice Mixer VoLTE           Off
306	BOOL	1	QUAT_MI2S_RX_Voice Mixer VoWLAN          Off
307	BOOL	1	QUAT_MI2S_RX_Voice Mixer DTMF            Off
308	BOOL	1	QUAT_MI2S_RX_Voice Mixer Voice Stub      Off
309	BOOL	1	SEC_RX_Voice Mixer CSVoice               Off
310	BOOL	1	SEC_RX_Voice Mixer Voice2                Off
311	BOOL	1	SEC_RX_Voice Mixer Voip                  Off
312	BOOL	1	SEC_RX_Voice Mixer VoLTE                 Off
313	BOOL	1	SEC_RX_Voice Mixer VoWLAN                Off
314	BOOL	1	SEC_RX_Voice Mixer DTMF                  Off
315	BOOL	1	SEC_RX_Voice Mixer QCHAT                 Off
316	BOOL	1	PRI_RX_Voice Mixer CSVoice               Off
317	BOOL	1	PRI_RX_Voice Mixer Voice2                Off
318	BOOL	1	PRI_RX_Voice Mixer Voip                  Off
319	BOOL	1	PRI_RX_Voice Mixer VoLTE                 Off
320	BOOL	1	PRI_RX_Voice Mixer VoWLAN                Off
321	BOOL	1	PRI_RX_Voice Mixer DTMF                  Off
322	BOOL	1	PRI_RX_Voice Mixer QCHAT                 Off
323	BOOL	1	SLIMBUS_4_RX Audio Mixer MultiMedia1     Off
324	BOOL	1	SLIMBUS_4_RX Audio Mixer MultiMedia2     Off
325	BOOL	1	Incall_Music_2 Audio Mixer MultiMedia1   Off
326	BOOL	1	Incall_Music_2 Audio Mixer MultiMedia2   Off
327	BOOL	1	Incall_Music_2 Audio Mixer MultiMedia5   Off
328	BOOL	1	Incall_Music_2 Audio Mixer MultiMedia9   Off
329	BOOL	1	Incall_Music_2 Audio Mixer MultiMedia10  Off
330	BOOL	1	Incall_Music Audio Mixer MultiMedia1     Off
331	BOOL	1	Incall_Music Audio Mixer MultiMedia2     Off
332	BOOL	1	Incall_Music Audio Mixer MultiMedia5     Off
333	BOOL	1	Incall_Music Audio Mixer MultiMedia9     Off
334	BOOL	1	Incall_Music Audio Mixer MultiMedia10    Off
335	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia1   Off
336	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia2   Off
337	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia3   Off
338	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia4   Off
339	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia5   Off
340	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia6   Off
341	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia7   Off
342	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia8   Off
343	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia9   Off
344	BOOL	1	SEC_AUX_PCM_RX Audio Mixer MultiMedia10  Off
345	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia1       Off
346	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia2       Off
347	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia3       Off
348	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia4       Off
349	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia5       Off
350	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia6       Off
351	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia7       Off
352	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia8       Off
353	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia9       Off
354	BOOL	1	AUX_PCM_RX Audio Mixer MultiMedia10      Off
355	BOOL	1	MultiMedia6 Mixer INTERNAL_FM_TX         Off
356	BOOL	1	MultiMedia6 Mixer SLIM_0_TX              Off
357	BOOL	1	MultiMedia8 Mixer SLIM_0_TX              Off
358	BOOL	1	MultiMedia8 Mixer PRI_MI2S_TX            Off
359	BOOL	1	MultiMedia8 Mixer INTERNAL_FM_TX         Off
360	BOOL	1	MultiMedia8 Mixer INTERNAL_BT_SCO_TX     Off
361	BOOL	1	MultiMedia8 Mixer AFE_PCM_TX             Off
362	BOOL	1	MultiMedia8 Mixer VOC_REC_DL             Off
363	BOOL	1	MultiMedia8 Mixer VOC_REC_UL             Off
364	BOOL	1	MultiMedia5 Mixer SLIM_0_TX              Off
365	BOOL	1	MultiMedia5 Mixer INTERNAL_FM_TX         Off
366	BOOL	1	MultiMedia5 Mixer MI2S_TX                Off
367	BOOL	1	MultiMedia5 Mixer AFE_PCM_TX             Off
368	BOOL	1	MultiMedia5 Mixer INTERNAL_BT_SCO_TX     Off
369	BOOL	1	MultiMedia5 Mixer AUX_PCM_TX             Off
370	BOOL	1	MultiMedia5 Mixer SEC_AUX_PCM_TX         Off
371	BOOL	1	MultiMedia4 Mixer SLIM_0_TX              Off
372	BOOL	1	MultiMedia4 Mixer PRI_MI2S_TX            Off
373	BOOL	1	MultiMedia4 Mixer INTERNAL_FM_TX         Off
374	BOOL	1	MultiMedia4 Mixer INTERNAL_BT_SCO_TX     Off
375	BOOL	1	MultiMedia4 Mixer AFE_PCM_TX             Off
376	BOOL	1	MultiMedia4 Mixer VOC_REC_DL             Off
377	BOOL	1	MultiMedia4 Mixer VOC_REC_UL             Off
378	BOOL	1	MultiMedia2 Mixer INTERNAL_FM_TX         Off
379	BOOL	1	MultiMedia2 Mixer MI2S_TX                Off
380	BOOL	1	MultiMedia2 Mixer SLIM_0_TX              Off
381	BOOL	1	MultiMedia1 Mixer PRI_TX                 Off
382	BOOL	1	MultiMedia1 Mixer MI2S_TX                Off
383	BOOL	1	MultiMedia1 Mixer PRI_MI2S_TX            Off
384	BOOL	1	MultiMedia1 Mixer QUAT_MI2S_TX           Off
385	BOOL	1	MultiMedia1 Mixer TERT_MI2S_TX           Off
386	BOOL	1	MultiMedia1 Mixer SEC_MI2S_TX            Off
387	BOOL	1	MultiMedia1 Mixer SLIM_0_TX              Off
388	BOOL	1	MultiMedia1 Mixer AUX_PCM_UL_TX          Off
389	BOOL	1	MultiMedia1 Mixer SEC_AUX_PCM_UL_TX      Off
390	BOOL	1	MultiMedia1 Mixer INTERNAL_BT_SCO_TX     Off
391	BOOL	1	MultiMedia1 Mixer INTERNAL_FM_TX         Off
392	BOOL	1	MultiMedia1 Mixer AFE_PCM_TX             Off
393	BOOL	1	MultiMedia1 Mixer VOC_REC_DL             Off
394	BOOL	1	MultiMedia1 Mixer VOC_REC_UL             Off
395	BOOL	1	MultiMedia1 Mixer SLIM_4_TX              Off
396	BOOL	1	PRI_MI2S_RX Audio Mixer MultiMedia1      Off
397	BOOL	1	PRI_MI2S_RX Audio Mixer MultiMedia2      Off
398	BOOL	1	PRI_MI2S_RX Audio Mixer MultiMedia3      Off
399	BOOL	1	PRI_MI2S_RX Audio Mixer MultiMedia4      Off
400	BOOL	1	PRI_MI2S_RX Audio Mixer MultiMedia5      Off
401	BOOL	1	SEC_MI2S_RX Port Mixer PRI_MI2S_TX       Off
402	BOOL	1	SEC_MI2S_RX Port Mixer INTERNAL_FM_TX    Off
403	BOOL	1	SEC_MI2S_RX Audio Mixer MultiMedia1      Off
